,seas_1_1an,resff3_12_1,ret_6_1,ret_12_1,ami_126d,turnover_126d,me,dolvol,netis_at,capx_gr1,mispricing_mgmt,emp_gr1,noa_gr1a,inv_gr1,at_gr1,sale_gr1,ret_1_0,beta_60m,rmax5_rvol_21d,bidaskhl_21d,rmax5_21d,rmax1_21d,rvol_21d,ivol_capm_21d,ivol_ff3_21d,cash_at,ret_60_12,at_me,be_me,sale_me,ebitda_mev,fcf_me,ni_me,ocf_me,z_score,o_score,f_score,qmj,niq_be,op_at,ocf_at,cop_at,gp_at,ope_be,age,div12m_me,chcsho_12m,eqnpo_12m,niq_su,oaccruals_at,taccruals_at
mispricing_mgmt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3888888888888889,0.75,1.0,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.06944444444444445,0.1111111111111111,0.1111111111111111,0.0,0.0,0.0
emp_gr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.8055555555555556,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.041666666666666664,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0
noa_gr1a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.8055555555555556,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.041666666666666664,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0
inv_gr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.8055555555555556,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.041666666666666664,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0
at_gr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.8055555555555556,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.041666666666666664,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0
sale_gr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3472222222222222,0.8055555555555556,0.9444444444444444,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013888888888888888,0.041666666666666664,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0
ret_1_0,0.0,0.0,0.0,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.18055555555555555,0.625,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.4722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0
beta_60m,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18055555555555555,1.0,0.5555555555555556,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.6388888888888888,0.1111111111111111,0.013888888888888888,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.2638888888888889,0.25,0.25,0.25,0.0,0.0,0.0
rmax5_rvol_21d,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.5555555555555556,1.0,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0
bidaskhl_21d,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722222222222222,0.6388888888888888,0.8472222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.027777777777777776,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.375,0.3194444444444444,0.3194444444444444,0.3194444444444444,0.0,0.0,0.0
rmax5_21d,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722222222222222,0.6388888888888888,0.8472222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.027777777777777776,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.375,0.3194444444444444,0.3194444444444444,0.3194444444444444,0.0,0.0,0.0
rmax1_21d,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722222222222222,0.6388888888888888,0.8472222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.027777777777777776,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.375,0.3194444444444444,0.3194444444444444,0.3194444444444444,0.0,0.0,0.0
rvol_21d,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722222222222222,0.6388888888888888,0.8472222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.027777777777777776,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.375,0.3194444444444444,0.3194444444444444,0.3194444444444444,0.0,0.0,0.0
ivol_capm_21d,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722222222222222,0.6388888888888888,0.8472222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.027777777777777776,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.375,0.3194444444444444,0.3194444444444444,0.3194444444444444,0.0,0.0,0.0
ivol_ff3_21d,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4722222222222222,0.6388888888888888,0.8472222222222222,1.0,1.0,1.0,1.0,1.0,1.0,0.08333333333333333,0.027777777777777776,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.375,0.3194444444444444,0.3194444444444444,0.3194444444444444,0.0,0.0,0.0
cash_at,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2638888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,1.0,0.027777777777777776,0.375,0.375,0.375,0.25,0.25,0.25,0.25,0.2361111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.18055555555555555,0.2361111111111111,0.19444444444444445,0.19444444444444445,0.0,0.0,0.0
ret_60_12,0.0,0.041666666666666664,0.027777777777777776,0.027777777777777776,0.0,0.0,0.0,0.0,0.1527777777777778,0.1527777777777778,0.20833333333333334,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.2638888888888889,0.0,0.013888888888888888,0.0,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,1.0,0.4305555555555556,0.4305555555555556,0.4305555555555556,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4166666666666667,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.4027777777777778,0.125,0.18055555555555555,0.18055555555555555,0.18055555555555555,0.0,0.0,0.0
at_me,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.375,0.4305555555555556,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.8611111111111112,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.4027777777777778,0.5555555555555556,0.5138888888888888,0.5138888888888888,0.0,0.0,0.0
be_me,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.375,0.4305555555555556,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.8611111111111112,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.4027777777777778,0.5555555555555556,0.5138888888888888,0.5138888888888888,0.0,0.0,0.0
sale_me,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.06944444444444445,0.375,0.4305555555555556,1.0,1.0,1.0,0.875,0.875,0.875,0.875,0.8611111111111112,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.4027777777777778,0.5555555555555556,0.5138888888888888,0.5138888888888888,0.0,0.0,0.0
ebitda_mev,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.4027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.4027777777777778,0.875,0.875,0.875,1.0,1.0,1.0,1.0,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.375,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.0,0.0,0.0
fcf_me,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.4027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.4027777777777778,0.875,0.875,0.875,1.0,1.0,1.0,1.0,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.375,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.0,0.0,0.0
ni_me,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.4027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.4027777777777778,0.875,0.875,0.875,1.0,1.0,1.0,1.0,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.375,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.0,0.0,0.0
ocf_me,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.4027777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06944444444444445,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.25,0.4027777777777778,0.875,0.875,0.875,1.0,1.0,1.0,1.0,0.9583333333333334,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.375,0.5138888888888888,0.5138888888888888,0.5138888888888888,0.0,0.0,0.0
z_score,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.3611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2361111111111111,0.4166666666666667,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9583333333333334,1.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.3472222222222222,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.0,0.0,0.0
o_score,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.4027777777777778,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3472222222222222,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.0,0.0,0.0
f_score,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.4027777777777778,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3472222222222222,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.0,0.0,0.0
qmj,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.4027777777777778,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3472222222222222,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.0,0.0,0.0
niq_be,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.4027777777777778,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3472222222222222,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.0,0.0,0.0
op_at,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.4027777777777778,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3472222222222222,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.0,0.0,0.0
ocf_at,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.4027777777777778,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3472222222222222,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.0,0.0,0.0
cop_at,0.0,0.0,0.013888888888888888,0.013888888888888888,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.2222222222222222,0.4027777777777778,0.8472222222222222,0.8472222222222222,0.8472222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9861111111111112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3472222222222222,0.4861111111111111,0.4861111111111111,0.4861111111111111,0.0,0.0,0.0
